link,price_num,bedroom,bedroom_num,bathroom_num,area,latitude,longitude,posing time,update time,available time
http://boston.craigslist.org/gbs/fee/6086149205.html,3200,3BR / 1Ba,3,1,available sep 1,42.376035,-71.101184,2017-04-12  9:56pm,2017-04-29 11:58am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6086149936.html,3200,3BR / 1Ba,3,1,available sep 1,42.376035,-71.101184,2017-04-12  9:57pm,2017-04-29 11:58am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6100911880.html,3875,3BR / 2Ba,3,2,available sep 1,42.376035,-71.101184,2017-04-23  1:43pm,2017-04-28  1:04pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6103085631.html,3200,3BR / 1Ba,3,1,1ft2,42.376035,-71.101184,2017-04-24  9:31pm,email to friend,available sep 1
http://boston.craigslist.org/gbs/fee/6076144878.html,3300,3BR / 1Ba,3,1,available sep 1,42.376234,-71.10216,2017-04-05 10:14pm,2017-04-28  4:43am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6090247067.html,3300,3BR / 1Ba,3,1,available sep 1,42.376234,-71.10216,2017-04-15 10:25pm,2017-04-30  1:48pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6104563781.html,3300,3BR / 1Ba,3,1,available sep 1,42.376234,-71.10216,2017-04-25  8:32pm,email to friend,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6076445556.html,3300,3BR / 1Ba,3,1,available sep 1,42.3763,-71.103516,2017-04-06  8:34am,2017-04-28  4:43am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6100674559.html,3100,3BR / 1Ba,3,1,available jul 1,42.376735,-71.10281,2017-04-23 10:53am,2017-04-28 12:46pm,cats are OK - purrr
http://boston.craigslist.org/gbs/abo/6100643159.html,3200,3BR / 1Ba,3,1,1400ft2,42.376792,-71.098516,2017-04-23 10:28am,2017-04-25 11:06am,available jun 1
http://boston.craigslist.org/gbs/fee/6102363926.html,3600,3BR / 1Ba,3,1,available sep 1,42.377,-71.1256,2017-04-24  1:28pm,email to friend,apartment
http://boston.craigslist.org/gbs/fee/6096989249.html,3450,3BR / 1Ba,3,1,1300ft2,42.377,-71.1256,2017-04-20  5:41pm,2017-04-24 12:27pm,available may 1
http://boston.craigslist.org/gbs/fee/6104388593.html,3117,3BR / 1Ba,3,1,available may 28,42.377,-71.1256,2017-04-25  6:13pm,2017-04-28  9:34pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6078081371.html,3800,3BR / 2Ba,3,2,available apr 7,42.377,-71.1256,2017-04-07 11:09am,2017-04-29  8:09pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6088942154.html,3600,3BR / 1Ba,3,1,1200ft2,42.377,-71.1256,2017-04-14 10:23pm,2017-04-29  9:18am,available sep 1
http://boston.craigslist.org/gbs/fee/6103172856.html,3600,3BR / 1Ba,3,1,available sep 1,42.377,-71.1256,2017-04-24 10:57pm,email to friend,apartment
http://boston.craigslist.org/gbs/nfb/6103128365.html,4100,3BR / 2Ba,3,2,available may 1,42.377,-71.1256,2017-04-24 10:11pm,2017-05-01  8:09pm,cats are OK - purrr
